folhas_amareladas,folhas_marrons,queda_folhas,manchas_escuras,pragas_visiveis,folhas_murchas,teias_aranha,crescimento_lento,folhas_deformadas,caule_mole,brotos_queimados,folhas_palidas,mofo_superficial,raizes_expostas,folhas_com_furos,diagnostico
0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,Apodrecimento por excesso de água
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Apodrecimento por excesso de água
1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,Apodrecimento por excesso de água
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Apodrecimento por excesso de água
0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,Apodrecimento por excesso de água
0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,Apodrecimento por excesso de água
1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Apodrecimento por excesso de água
1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,Apodrecimento por excesso de água
1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,Apodrecimento por excesso de água
1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,Apodrecimento por excesso de água
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Apodrecimento por excesso de água
0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,Apodrecimento por excesso de água
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,Apodrecimento por excesso de água
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Apodrecimento por excesso de água
0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,Apodrecimento por excesso de água
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Apodrecimento por excesso de água
1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,Apodrecimento por excesso de água
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,Excesso de sol ou fertilizante
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Excesso de sol ou fertilizante
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Excesso de sol ou fertilizante
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Excesso de sol ou fertilizante
1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,Excesso de sol ou fertilizante
0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,Excesso de sol ou fertilizante
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Excesso de sol ou fertilizante
0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,Excesso de sol ou fertilizante
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,Excesso de sol ou fertilizante
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Excesso de sol ou fertilizante
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Excesso de sol ou fertilizante
1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Excesso de sol ou fertilizante
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Excesso de sol ou fertilizante
0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,Excesso de sol ou fertilizante
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Excesso de sol ou fertilizante
1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,Excesso de sol ou fertilizante
1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,Excesso de sol ou fertilizante
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Excesso de sol ou fertilizante
1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,Excesso de sol ou fertilizante
1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,Excesso de sol ou fertilizante
1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,Sol excessivo ou deficiência de ferro
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Sol excessivo ou deficiência de ferro
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Sol excessivo ou deficiência de ferro
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sol excessivo ou deficiência de ferro
1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,Sol excessivo ou deficiência de ferro
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Sol excessivo ou deficiência de ferro
1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,Sol excessivo ou deficiência de ferro
1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,Sol excessivo ou deficiência de ferro
1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,Sol excessivo ou deficiência de ferro
1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Sol excessivo ou deficiência de ferro
1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Sol excessivo ou deficiência de ferro
1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,Sol excessivo ou deficiência de ferro
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Sol excessivo ou deficiência de ferro
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Sol excessivo ou deficiência de ferro
1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,Sol excessivo ou deficiência de ferro
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,Sol excessivo ou deficiência de ferro
0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,Sol excessivo ou deficiência de ferro
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,Sol excessivo ou deficiência de ferro
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Sol excessivo ou deficiência de ferro
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Sol excessivo ou deficiência de ferro
1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Oídio (doença fúngica)
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Oídio (doença fúngica)
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Oídio (doença fúngica)
0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,Oídio (doença fúngica)
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,Oídio (doença fúngica)
0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,Oídio (doença fúngica)
1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,Oídio (doença fúngica)
0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,Oídio (doença fúngica)
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Oídio (doença fúngica)
0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,Oídio (doença fúngica)
0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,Oídio (doença fúngica)
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Oídio (doença fúngica)
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Oídio (doença fúngica)
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Oídio (doença fúngica)
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Oídio (doença fúngica)
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Oídio (doença fúngica)
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Oídio (doença fúngica)
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,Oídio (doença fúngica)
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,Oídio (doença fúngica)
0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,Oídio (doença fúngica)
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Necessidade de transplante
0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,Necessidade de transplante
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Necessidade de transplante
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Necessidade de transplante
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Necessidade de transplante
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Necessidade de transplante
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Necessidade de transplante
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Necessidade de transplante
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Necessidade de transplante
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Necessidade de transplante
0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,Necessidade de transplante
0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,Necessidade de transplante
0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,Necessidade de transplante
0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,Necessidade de transplante
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Necessidade de transplante
0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,Necessidade de transplante
0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,Necessidade de transplante
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Necessidade de transplante
0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Necessidade de transplante
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Necessidade de transplante
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Insetos mastigadores
0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,Insetos mastigadores
0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,Insetos mastigadores
1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,Insetos mastigadores
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,Insetos mastigadores
0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,Insetos mastigadores
0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,Insetos mastigadores
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Insetos mastigadores
1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,Insetos mastigadores
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Insetos mastigadores
0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,Insetos mastigadores
1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,Insetos mastigadores
0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,Insetos mastigadores
0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,Insetos mastigadores
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Insetos mastigadores
0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,Insetos mastigadores
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Insetos mastigadores
0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,Insetos mastigadores
1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Insetos mastigadores
0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,Insetos mastigadores
